ProductID,ProductName, ProductCategory,SupplierID, ProductPrice, StockQuantity
200,Ronaldo Energy Drink, Beverage,250,250,50
199,Messi Cleats, Footwear,253,12000,30
198,Neymar Hair Gel, Cosmetics,251,1500,60
197,Mbappe Speed Boosters, Fitness,255,8000,25
196,Haaland Protein Bars,Health,253,500,100
195,Pogba Fashion Hat,Clothing,252,3000,40
194,Modric Vintage Jersey,Apparel,254,7000,15
193,Kane Goalkeeper Gloves,Sports Gear,255,5500,20
192,De Bruyne Tactical Board,Coaching,255,3500,10
191,Vinicius Samba Boots,Footwear,256,11000,35
190,Lewandowski Shooting Guide,Books,256,2000,30
